2015-09-23 23:53:58,224 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:54:02,212 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:54:02,212 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:54:02,212 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:54:10,216 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:54:10,217 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:54:10,217 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:54:26,172 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:54:26,173 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:54:26,173 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:54:31,176 [INFO  IM] - <MsgConn.cpp>|<62>|<msg_conn_timer_callback>,up_msg_cnt=0, up_msg_miss_cnt=0, down_msg_cnt=0, down_msg_miss_cnt=0 
2015-09-23 23:54:58,221 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:54:58,221 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:54:58,221 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:56:02,177 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:56:02,177 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:56:02,177 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:56:06,225 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:56:06,225 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:56:06,226 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:56:14,183 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:56:14,183 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:56:14,183 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:56:30,181 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:56:30,181 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:56:30,181 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:57:02,142 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:57:02,142 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:57:02,143 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:58:06,203 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:58:06,204 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:58:06,204 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:58:10,211 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:58:10,212 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:58:10,212 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:58:18,202 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:58:18,202 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:58:18,202 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:58:34,162 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.199:8500 
2015-09-23 23:58:34,162 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.199, port=8500
2015-09-23 23:58:34,162 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2015-09-23 23:58:51,143 [INFO  IM] - <MsgConn.cpp>|<232>|<OnTimer>,mobile client timeout, handle=14, uid=5 
2015-09-23 23:58:51,143 [INFO  IM] - <MsgConn.cpp>|<177>|<Close>,Close client, handle=14, user_id=5 
2015-09-23 23:58:51,352 [INFO  IM] - <BaseSocket.cpp>|<329>|<_AcceptNewSocket>,AcceptNewSocket, socket=14 from 192.168.1.101:58617

2015-09-23 23:58:51,357 [INFO  IM] - <MsgConn.cpp>|<448>|<_HandleLoginRequest>,HandleLoginReq, user_name=yang2, status=1, client_type=18, client=1.0.0, 
2015-09-23 23:58:51,368 [INFO  IM] - <DBServConn.cpp>|<293>|<_HandleValidateResponse>,HandleValidateResp, user_name=yang2, result=0
2015-09-23 23:58:51,368 [INFO  IM] - <DBServConn.cpp>|<352>|<_HandleValidateResponse>,user_name: yang2, uid: 5
2015-09-23 23:58:51,393 [INFO  IM] - <MsgConn.cpp>|<876>|<_HandleClientDepartmentRequest>,HandleClientDepartmentRequest, user_id=5, latest_update_time=1443019783.
2015-09-23 23:58:51,396 [INFO  IM] - <MsgConn.cpp>|<829>|<_HandleClientAllUserRequest>,HandleClientAllUserReq, user_id=5, latest_update_time=1443019783. 
2015-09-23 23:58:51,397 [INFO  IM] - <GroupChat.cpp>|<37>|<HandleClientGroupNormalRequest>,HandleClientGroupNormalRequest, user_id=5. 
2015-09-23 23:58:51,398 [INFO  IM] - <DBServConn.cpp>|<676>|<_HandleDepartmentResponse>,HandleDepartmentResponse, user_id=5, latest_update_time=1443019783, dept_cnt=0.
